                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.40571,                0.43668,                0.10702,                0.90238,                0.90237,                0.92696,                0.53514,                0.46956,                0.49916,                0.14035,             0.00016509,             0.00016509,             0.00016509
                     88,                0.38711,                0.43331,                0.10251,                0.91636,                0.90363,                0.92821,                0.53908,                0.46677,                0.51387,                0.13854,              0.0001541,              0.0001541,              0.0001541
                     89,                0.40835,                0.43661,                0.10894,                 0.9195,                0.89937,                0.92953,                0.54049,                0.46315,                0.51294,                0.13906,              0.0001431,              0.0001431,              0.0001431
                     90,                0.38302,                0.42762,                0.09725,                0.91755,                 0.8996,                0.93199,                0.53742,                0.46661,                0.51305,                0.13875,              0.0001321,              0.0001321,              0.0001321
                     91,                0.29154,                0.35588,                0.07163,                0.90795,                0.91826,                0.93685,                0.55346,                0.46081,                0.49891,                0.13723,              0.0001211,              0.0001211,              0.0001211
                     92,                0.28853,                0.34731,                0.07022,                   0.91,                0.92555,                  0.943,                 0.5588,                0.45949,                0.50042,                0.13675,              0.0001101,              0.0001101,              0.0001101
                     93,                0.28539,                0.34568,                0.06963,                0.92431,                0.91257,                0.94187,                0.55669,                0.45566,                0.50001,                0.13562,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.27665,                0.33782,                 0.0675,                0.90802,                0.92521,                0.94007,                0.55891,                0.45631,                0.51018,                0.13624,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.27451,                0.33607,                0.06663,                0.93059,                0.90453,                0.93914,                0.56124,                0.44926,                0.50799,                0.13341,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.27105,                0.33449,                0.06611,                0.93166,                0.90643,                0.93968,                0.56125,                0.45149,                0.51124,                  0.133,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.26489,                0.33061,                0.06429,                0.91621,                0.92162,                0.93696,                0.56176,                0.45124,                0.50907,                0.13621,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.26898,                0.32984,                0.06549,                0.92675,                0.90755,                0.93657,                0.56472,                0.45018,                0.51061,                0.13515,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.26161,                0.32628,                0.06277,                0.91774,                0.91732,                  0.938,                0.56553,                0.44955,                0.50496,                0.13551,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.25917,                0.32441,                0.06356,                0.91665,                0.92186,                0.93892,                0.56345,                0.45027,                0.50471,                0.13547,             2.2109e-05,             2.2109e-05,             2.2109e-05
