                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5213,                0.96888,                 1.3678,                 1.6526,                 1.1101,                  1.362,                0.83609,                0.78279,                0.85224,                0.41497,                 1.7097,                0.94246,                 1.5146,                 1.7917,                0.95263,                 1.4807,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.5066,                0.95811,                 1.3595,                 1.6518,                 1.1017,                 1.3538,                0.83688,                0.77905,                0.84678,                0.41777,                 1.7288,                0.94956,                 1.5435,                 1.8262,                0.98049,                 1.5131,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.5137,                0.95833,                 1.3694,                 1.6484,                 1.1022,                 1.3606,                0.82959,                0.77774,                 0.8579,                0.42022,                 1.6871,                0.94063,                 1.4854,                  1.777,                0.96577,                 1.4658,             0.00071504,             0.00071504,             0.00071504
                     39,                  1.494,                0.94367,                 1.3569,                 1.6318,                 1.0948,                 1.3534,                0.84278,                0.78039,                0.86192,                0.43059,                 1.7317,                0.94841,                 1.5401,                 1.8042,                0.99741,                 1.5076,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.4873,                0.93396,                 1.3446,                 1.6193,                 1.0597,                 1.3397,                0.84094,                0.80416,                0.86677,                0.43077,                 1.6917,                0.89184,                 1.5068,                 1.7797,                0.92557,                  1.487,             0.00069304,             0.00069304,             0.00069304
                     41,                   1.47,                0.89655,                 1.3345,                 1.6103,                 1.0206,                 1.3288,                0.86242,                0.78569,                0.87164,                0.43199,                 1.7225,                0.92213,                  1.523,                 1.8055,                0.92673,                 1.4963,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.4706,                0.88751,                 1.3391,                 1.6111,                 1.0111,                  1.333,                0.84123,                0.81347,                0.86474,                0.43732,                  1.743,                0.92113,                 1.5379,                 1.8089,                0.94858,                 1.5004,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.4574,                0.88481,                 1.3209,                 1.6019,                 1.0005,                 1.3168,                0.85817,                0.77574,                0.86602,                0.44249,                 1.6538,                0.92043,                 1.4871,                 1.7499,                0.93841,                 1.4541,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.4652,                0.89823,                 1.3303,                 1.6108,                 1.0194,                 1.3288,                0.85592,                0.82287,                0.87364,                0.43913,                 1.6843,                0.89706,                 1.4929,                 1.7802,                 0.9104,                 1.4662,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.4405,                0.86845,                 1.3301,                 1.5789,                0.98723,                 1.3304,                0.85963,                 0.7965,                 0.8724,                0.44442,                 1.6678,                0.88153,                 1.4801,                  1.783,                0.88619,                 1.4668,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.4171,                0.86753,                 1.3078,                 1.5523,                0.97806,                 1.3046,                0.85803,                0.82207,                0.87879,                0.44415,                 1.6917,                0.90881,                 1.5022,                 1.7848,                 0.9196,                 1.4768,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.4204,                0.84731,                 1.3067,                 1.5576,                0.93448,                 1.3023,                0.84476,                0.81227,                0.86718,                0.43305,                 1.7145,                0.91247,                 1.5129,                 1.7957,                0.92903,                 1.4878,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.3989,                0.84021,                 1.2999,                 1.5346,                0.95395,                 1.2947,                 0.8574,                0.83644,                0.88501,                0.44687,                 1.6699,                0.85287,                 1.4988,                 1.7639,                0.87207,                 1.4782,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.4041,                0.82011,                 1.2871,                 1.5562,                0.92192,                  1.284,                0.88826,                0.79645,                0.88218,                0.44884,                 1.6603,                0.88808,                 1.4757,                 1.7731,                0.90412,                 1.4689,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.3751,                0.81269,                 1.2754,                  1.523,                0.91708,                 1.2781,                0.85971,                0.83109,                0.88353,                 0.4437,                 1.6626,                 0.8727,                 1.4833,                 1.7525,                0.88908,                 1.4502,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.3763,                0.81456,                 1.2773,                 1.5239,                0.90837,                 1.2791,                0.87224,                0.82417,                0.88617,                0.45599,                 1.6363,                0.84536,                 1.4836,                 1.7287,                0.84614,                 1.4586,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.3861,                0.81795,                 1.2833,                 1.5274,                0.90761,                  1.283,                0.85002,                0.82008,                0.87128,                0.43498,                 1.6855,                0.88496,                 1.5097,                  1.769,                0.90665,                  1.468,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.3722,                0.79802,                 1.2741,                 1.5224,                0.90866,                 1.2731,                 0.8877,                0.80757,                0.88482,                0.45731,                 1.6498,                0.86829,                 1.4993,                 1.7436,                0.90107,                 1.4763,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.3466,                0.79809,                 1.2655,                 1.4897,                0.90414,                 1.2725,                0.85944,                0.82792,                0.88953,                0.45835,                 1.6626,                0.85634,                 1.5128,                 1.7685,                0.89878,                 1.4878,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.3543,                0.79646,                 1.2627,                 1.5017,                0.87494,                 1.2689,                0.88633,                0.83872,                0.89641,                0.46035,                 1.6318,                0.86806,                 1.4662,                 1.7325,                0.87132,                 1.4536,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.3384,                0.78719,                 1.2459,                 1.5006,                0.87581,                  1.258,                0.87898,                0.83845,                0.89251,                0.46743,                 1.6204,                 0.8667,                 1.4688,                 1.7162,                0.87749,                 1.4421,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.3254,                0.76754,                 1.2512,                 1.4803,                0.84367,                 1.2561,                0.88043,                0.84042,                0.89576,                0.46346,                 1.6494,                0.85638,                 1.5026,                 1.7444,                0.87514,                 1.4745,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.3241,                0.75908,                 1.2484,                 1.4851,                0.84737,                 1.2582,                0.89045,                0.81977,                0.89328,                0.45976,                 1.6199,                0.87216,                 1.4703,                 1.7082,                0.87512,                 1.4476,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.3029,                 0.7411,                 1.2324,                 1.4615,                 0.8056,                 1.2405,                0.87592,                0.84872,                0.90298,                0.47411,                 1.6315,                0.83055,                 1.4923,                 1.7298,                0.84977,                 1.4511,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.3079,                0.75481,                 1.2335,                 1.4717,                0.83344,                 1.2358,                0.85438,                0.84983,                0.90003,                0.47758,                 1.6045,                 0.7938,                 1.4627,                 1.7171,                  0.773,                 1.4483,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.2928,                0.74878,                 1.2282,                 1.4573,                0.83431,                 1.2326,                0.89329,                0.80927,                0.88975,                 0.4718,                 1.6155,                 0.8233,                 1.4708,                 1.6975,                0.85875,                 1.4337,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.2825,                0.72673,                 1.2137,                 1.4418,                0.78407,                 1.2232,                0.89945,                0.82529,                0.90203,                0.47511,                 1.5818,                0.79151,                 1.4535,                 1.6896,                0.80369,                 1.4323,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.2812,                0.73733,                  1.219,                 1.4459,                0.82093,                 1.2331,                0.89918,                0.82332,                0.89286,                0.47164,                  1.606,                0.83825,                 1.4818,                 1.7218,                0.87804,                 1.4631,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.2612,                0.72039,                 1.2191,                  1.416,                0.79812,                 1.2276,                0.89055,                0.84892,                0.90337,                0.47211,                 1.5886,                0.83673,                 1.4594,                 1.6764,                0.84374,                 1.4338,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.2601,                0.70998,                 1.2046,                 1.4164,                0.79215,                 1.2105,                0.89279,                 0.8276,                0.89801,                0.46937,                  1.611,                 0.8448,                 1.4975,                 1.7044,                0.85895,                 1.4616,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.2574,                 0.7099,                 1.2054,                 1.4102,                0.78583,                 1.2138,                0.87989,                0.85562,                0.90102,                0.47111,                  1.602,                0.81729,                 1.4781,                 1.7043,                0.82722,                 1.4575,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.2481,                0.69757,                 1.2141,                 1.3909,                0.75546,                 1.2195,                0.88584,                0.84698,                0.90385,                 0.4827,                 1.5873,                0.79841,                 1.4684,                 1.6879,                0.79977,                 1.4386,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.2426,                0.70708,                 1.2016,                 1.3845,                0.78506,                 1.2076,                0.88335,                0.85511,                0.90709,                0.48404,                 1.5749,                0.79305,                 1.4634,                 1.6904,                0.77843,                 1.4448,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.2285,                0.69221,                 1.1852,                 1.3862,                0.75655,                  1.194,                0.87352,                 0.8538,                0.90512,                0.47668,                 1.5763,                0.81264,                  1.482,                 1.6745,                0.83099,                 1.4454,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.2075,                0.68046,                 1.1762,                 1.3575,                0.75067,                 1.1879,                0.88646,                0.84804,                 0.9053,                0.48838,                 1.5522,                0.77021,                  1.469,                 1.6463,                0.76584,                 1.4365,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.2122,                0.67397,                 1.1858,                 1.3595,                0.73592,                 1.1976,                0.90514,                0.86582,                0.91098,                0.48906,                 1.5561,                0.81186,                 1.4566,                 1.6593,                0.81452,                 1.4333,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.1958,                0.67987,                 1.1676,                 1.3514,                0.75645,                 1.1789,                0.88933,                0.85554,                0.90416,                0.48942,                  1.554,                0.81994,                  1.468,                 1.6483,                0.83274,                 1.4308,             0.00034108,             0.00034108,             0.00034108
                     73,                  1.204,                0.67685,                 1.1743,                 1.3563,                0.74544,                  1.184,                0.91713,                0.84264,                0.91108,                0.48405,                 1.5654,                0.78205,                 1.4592,                  1.663,                0.78341,                 1.4241,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.1848,                0.66953,                 1.1761,                 1.3376,                0.73397,                 1.1893,                0.87683,                0.87119,                0.91155,                0.49838,                 1.5368,                0.78271,                 1.4462,                 1.6434,                0.78799,                 1.4308,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.1634,                0.64078,                 1.1505,                 1.3238,                0.69538,                 1.1627,                0.89654,                0.85693,                0.91112,                0.49175,                 1.5424,                0.81189,                 1.4642,                 1.6359,                0.86088,                 1.4307,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.1529,                0.63133,                 1.1503,                 1.3055,                0.67322,                 1.1616,                0.89324,                0.86176,                0.91312,                0.50202,                 1.5409,                 0.8016,                   1.46,                 1.6263,                0.82277,                 1.4215,             0.00029708,             0.00029708,             0.00029708
