                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5512,                0.86478,                  1.262,                 1.7733,                0.96045,                 1.2088,                0.80303,                 0.6862,                0.76987,                0.37522,                 1.8445,                  0.992,                 1.6165,                 1.9462,                 1.0962,                 1.5152,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.5196,                 0.8501,                 1.2602,                 1.7362,                  0.962,                 1.2121,                0.77217,                0.71604,                0.76864,                0.36704,                 1.8779,                0.98376,                 1.6133,                 1.9907,                 1.0856,                 1.5335,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.5083,                0.83043,                 1.2457,                 1.7185,                0.92492,                 1.1978,                0.77827,                 0.7704,                0.80699,                0.40031,                 1.8885,                0.96648,                 1.6468,                 1.9973,                 1.1097,                 1.5494,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.5034,                0.83373,                 1.2522,                 1.7298,                0.92606,                  1.209,                0.80297,                0.77644,                 0.8131,                0.38397,                 1.8458,                 0.9592,                 1.6106,                 1.9619,                 1.0225,                 1.5194,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.5356,                0.85338,                 1.2814,                 1.7455,                0.94631,                 1.2304,                0.79507,                0.75313,                 0.7956,                 0.3852,                  1.887,                 1.0124,                  1.634,                  1.978,                 1.0808,                 1.5353,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.4922,                 0.8291,                 1.2479,                 1.7088,                0.94135,                 1.1994,                0.76275,                0.75438,                0.79534,                0.38093,                 1.8142,                0.98377,                 1.6241,                 1.9231,                 1.0584,                 1.5215,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.4882,                  0.811,                 1.2553,                 1.6964,                0.88058,                 1.2086,                 0.8257,                0.74135,                0.81552,                0.39081,                 1.8176,                0.96734,                 1.6131,                 1.9645,                 1.0508,                 1.5525,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.4732,                0.81722,                  1.239,                 1.7045,                 0.9006,                  1.202,                0.81906,                0.74127,                0.80876,                0.38533,                 1.8374,                0.98222,                 1.6034,                 1.9503,                 1.0663,                 1.5195,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.4745,                0.79033,                 1.2511,                 1.6892,                0.87618,                 1.2076,                0.77538,                0.75193,                0.80501,                0.39077,                 1.8147,                 1.0216,                 1.5774,                 1.9203,                 1.0682,                 1.4884,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.4745,                0.80425,                 1.2517,                 1.6851,                0.89395,                 1.1992,                0.86014,                0.70755,                0.78909,                0.39025,                 1.8489,                0.99571,                 1.6191,                 1.9645,                 1.1432,                 1.5284,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.4491,                0.77743,                 1.2136,                 1.6793,                0.88135,                 1.1759,                0.80444,                0.74416,                 0.7908,                0.38176,                 1.8221,                0.95914,                  1.622,                 1.9621,                 1.0775,                   1.54,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.4522,                0.78487,                 1.2222,                 1.6796,                0.85759,                 1.1787,                0.84234,                0.74029,                0.80532,                0.37697,                 1.8632,                0.92953,                  1.642,                 1.9609,                  1.003,                 1.5378,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.4343,                0.74994,                 1.2073,                 1.6725,                0.83388,                 1.1642,                 0.8428,                0.74603,                0.82162,                0.40319,                 1.8407,                0.92027,                 1.5953,                 1.9389,                 1.0145,                 1.5081,             0.00062705,             0.00062705,             0.00062705
                     47,                  1.461,                0.77171,                 1.2241,                 1.6966,                0.85255,                 1.1875,                0.80046,                0.77184,                0.81883,                0.39319,                 1.8483,                0.98291,                 1.6141,                 1.9939,                 1.0586,                 1.5472,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.4335,                0.76429,                 1.2157,                 1.6519,                0.83134,                 1.1697,                0.81776,                0.75315,                0.81777,                0.39856,                 1.8463,                0.94199,                 1.6231,                 1.9726,                 1.0171,                 1.5312,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.4221,                0.74674,                 1.2145,                 1.6345,                0.80611,                 1.1696,                 0.8006,                0.76352,                0.81172,                0.40369,                 1.8034,                0.91212,                 1.6181,                 1.9299,                0.98787,                 1.5264,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.3953,                0.74223,                 1.2078,                 1.6243,                0.82117,                 1.1689,                0.80324,                0.73941,                0.79676,                0.39024,                 1.8473,                 1.0142,                 1.6505,                 1.9811,                 1.0723,                 1.5499,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.3934,                0.72596,                 1.2018,                 1.6144,                0.79037,                 1.1637,                0.84184,                0.76037,                0.82827,                0.39369,                 1.8598,                0.90758,                 1.6338,                 1.9623,                 1.0079,                 1.5307,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.3965,                0.72535,                 1.1922,                 1.6165,                0.78361,                 1.1509,                0.81098,                0.80867,                0.83673,                0.39634,                 1.8626,                0.92277,                 1.6634,                 1.9956,                 0.9607,                 1.5759,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.3858,                0.71848,                 1.1901,                 1.6174,                0.76674,                 1.1554,                0.79816,                0.75484,                0.80463,                0.38287,                 1.8792,                 0.9822,                 1.6844,                 2.0134,                 1.0457,                 1.5774,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.3529,                0.71737,                 1.1824,                 1.5917,                0.76861,                 1.1456,                0.84034,                0.77705,                0.83998,                0.41574,                 1.7957,                0.90796,                  1.615,                 1.9341,                0.95965,                 1.5354,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.3772,                0.71802,                 1.1913,                 1.6147,                0.77444,                 1.1536,                0.85984,                0.75509,                0.82083,                0.40103,                 1.8629,                0.99131,                 1.6566,                 1.9533,                 1.1101,                 1.5412,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.3492,                0.70105,                 1.1757,                 1.5953,                0.76299,                 1.1402,                0.77468,                 0.7988,                 0.8154,                0.39468,                 1.8658,                0.96344,                 1.6579,                 1.9927,                  1.025,                 1.5628,             0.00051706,             0.00051706,             0.00051706
                     57,                  1.317,                0.68323,                 1.1521,                 1.5629,                0.71772,                 1.1199,                0.81372,                 0.7168,                0.78351,                0.38677,                 1.8635,                 1.0544,                 1.6713,                 2.0107,                 1.1025,                 1.5838,             0.00050606,             0.00050606,             0.00050606
