                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.3051,                0.68557,                 1.1475,                   0.88,                0.78864,                0.86153,                0.43711,                 1.7356,                0.91501,                 1.5261,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.2634,                0.66786,                 1.1374,                0.87167,                0.77869,                0.85981,                0.44577,                 1.7292,                0.93005,                 1.5066,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.3127,                0.69145,                 1.1535,                0.85966,                0.84224,                0.87759,                0.44326,                 1.7205,                0.88295,                 1.4993,             0.00049506,             0.00049506,             0.00049506
                     58,                  1.274,                0.67419,                 1.1569,                 0.8721,                0.77539,                0.84936,                0.43027,                 1.7168,                0.92585,                 1.4931,             0.00048406,             0.00048406,             0.00048406
                     59,                  1.272,                0.67073,                 1.1323,                0.86493,                0.81405,                0.87257,                0.45659,                 1.6579,                0.85926,                 1.4717,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.2765,                0.66676,                 1.1356,                 0.8571,                 0.8526,                0.88093,                0.44984,                  1.723,                 0.8611,                   1.51,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.2368,                0.64272,                 1.1387,                  0.843,                0.84482,                0.86656,                0.43609,                 1.7182,                0.87699,                 1.5104,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.2485,                0.65234,                 1.1316,                0.86351,                0.79291,                0.86597,                0.43673,                 1.7655,                0.89419,                 1.5436,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.2247,                 0.6287,                 1.1213,                 0.8774,                0.81479,                0.86156,                0.43363,                 1.7358,                0.89427,                 1.5284,             0.00042907,             0.00042907,             0.00042907
                     64,                  1.256,                0.64671,                 1.1566,                0.83238,                  0.782,                0.81902,                0.40499,                 1.7661,                0.91311,                 1.5325,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.2258,                0.63235,                 1.1129,                0.86154,                 0.8139,                0.86031,                0.43231,                 1.7094,                0.88758,                 1.5016,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.2055,                0.61649,                 1.1198,                0.87402,                0.80104,                0.86165,                0.43839,                 1.7357,                0.87222,                 1.5309,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.1939,                0.60537,                 1.0911,                0.85127,                0.83014,                0.86168,                0.44522,                 1.7403,                0.88273,                 1.5228,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.1708,                 0.5988,                 1.0905,                 0.8886,                0.80437,                0.86983,                0.44041,                 1.7236,                0.84952,                 1.5113,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.1868,                 0.6128,                 1.0983,                0.88108,                0.80207,                0.86408,                 0.4375,                 1.7479,                0.86764,                 1.5333,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.1709,                0.58896,                 1.0952,                0.85284,                 0.8462,                  0.867,                0.44962,                 1.7196,                0.87205,                 1.5324,             0.00035208,             0.00035208,             0.00035208
                     71,                 1.1724,                 0.5897,                 1.1024,                0.89852,                0.83178,                0.88621,                0.46735,                 1.7356,                0.82871,                 1.5441,             0.00034108,             0.00034108,             0.00034108
                     72,                  1.158,                0.59401,                 1.0861,                0.83213,                0.82606,                0.85802,                0.43882,                 1.7639,                0.90067,                 1.5502,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.1406,                0.57939,                  1.074,                0.87067,                0.85828,                0.87976,                0.45533,                 1.7273,                0.83918,                 1.5437,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.1128,                 0.5656,                 1.0573,                0.87316,                0.82346,                0.86103,                0.44295,                 1.7542,                0.88192,                 1.5608,             0.00030808,             0.00030808,             0.00030808
                     75,                 1.1201,                0.56989,                 1.0728,                0.85106,                0.84965,                0.86055,                0.43988,                 1.7544,                 0.8953,                 1.5642,             0.00029708,             0.00029708,             0.00029708
                     76,                 1.1513,                0.58566,                 1.0729,                0.86364,                0.81733,                0.85653,                0.44356,                 1.7556,                0.89752,                 1.5515,             0.00028608,             0.00028608,             0.00028608
                     77,                 1.0973,                0.55515,                 1.0472,                0.86083,                0.83485,                0.87341,                0.44866,                 1.7267,                0.87294,                 1.5521,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.1111,                0.56192,                 1.0599,                0.87914,                0.80555,                0.86095,                 0.4357,                 1.7446,                0.89582,                 1.5606,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.0936,                0.55396,                  1.054,                0.85544,                0.86743,                0.87953,                0.45797,                 1.7193,                 0.8601,                 1.5576,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.0838,                0.54802,                 1.0537,                0.84443,                0.85361,                0.88059,                0.45628,                 1.7324,                0.88356,                 1.5661,             0.00024209,             0.00024209,             0.00024209
